Conference A Team,Games Won,,Games Won,Conference B Team
Anaheim Pioneers,1,,4,Salem Wildcats
Gainesville Braves,3,,4,Fort Worth Tigers
Lakewood Red Devils,4,,0,Minneapolis Mustangs
Green Bay Indians,4,,0,California Spartans
Coral Springs Tornadoes,0,,4,Virginia Beach Flyers
Texas Royals,2,,4,Orange Greyhounds
Knoxville Hawks,4,,1,Anchorage Red Devils
Coral Springs Mustangs,2,,4,Huntsville Rebels
Fort Collins Crusaders,1,,4,California Crusaders
California Stars,2,,4,Stockton Golden Eagles
Tucson Miners,4,,1,Springfield Spartans
North Las Vegas Cardinals,2,,4,Austin Patriots
Long Beach Panthers,4,,2,Kansas City Rockets
Corona Vikings,2,,4,Coral Springs Mustangs
Inglewood Rebels,3,,4,Salem Bearcats
Phoenix Bears,4,,1,California Spartans
Utah Generals,4,,1,Greensboro Wolves
North Carolina Colts,0,,4,North Las Vegas Pirates
Ontario Miners,2,,4,Worcester Lions
Alabama Indians,4,,3,Carrollton Lions
Denver Warriors,4,,0,Detroit Miners
Newark Miners,4,,3,Salem Wildcats
Inglewood Rebels,1,,4,Corona Vikings
Mesquite Blue Devils,4,,0,Long Beach Panthers
Chandler Blue Devils,1,,4,Green Bay Indians
Springfield Saints,2,,4,Jersey City Cowboys
North Carolina Colts,1,,4,Gainesville Braves
Sacramento Chargers,4,,2,Tucson Miners
Texas Jets,4,,1,Utah Generals
Lexington Pirates,1,,4,Coral Springs Mustangs
High Point Raiders,1,,4,Kansas City Rockets
North Las Vegas Pirates,4,,3,Fort Lauderdale Eagles
Chattanooga Rockets,3,,4,Oakland Cardinals
Huntsville Rebels,3,,4,Coral Springs Mustangs
Worcester Lions,2,,4,California Spartans
Anchorage Red Devils,3,,4,Burbank Huskies
Tacoma Broncos,1,,4,Mesa Longhorns
Orange Greyhounds,4,,3,Bakersfield Golden Eagles
Austin Patriots,3,,4,Colorado Springs Owls
Odessa Tigers,4,,1,Salem Wildcats
Orlando Jaguars,4,,1,Virginia Beach Flyers
Carrollton Lions,1,,4,Chandler Blue Devils
Greensboro Wolves,4,,3,Stockton Golden Eagles
Portland Tigers,1,,4,California Crusaders
Jersey City Cowboys,4,,0,Mesa Longhorns
Worcester Lions,4,,2,Burbank Huskies
Sacramento Chargers,2,,4,Detroit Miners
Texas Royals,3,,4,Denver Warriors
Newark Miners,4,,3,High Point Raiders
Anchorage Red Devils,3,,4,Alabama Indians
Spokane Knights,4,,1,Fort Lauderdale Eagles
North Las Vegas Pirates,4,,0,Los Angeles Bearcats
Jersey City Cowboys,3,,4,Salem Wildcats
Mesquite Blue Devils,0,,4,Texas Royals
Corona Vikings,4,,2,Detroit Miners
Irvine Chargers,2,,4,Odessa Tigers
Oklahoma City Rockets,4,,3,Burbank Huskies
Kansas City Rockets,3,,4,Salem Bearcats
Tucson Miners,4,,0,Orlando Jaguars
Los Angeles Bearcats,1,,4,Jersey City Cowboys
Texas Jets,4,,1,Chandler Blue Devils
Austin Patriots,4,,0,North Las Vegas Pirates
Mesa Longhorns,4,,1,Springfield Spartans
Newark Miners,4,,0,Texas Royals
Fort Lauderdale Eagles,3,,4,Tucson Miners
Ontario Miners,4,,3,Gainesville Braves
Fresno Chiefs,1,,4,California Spartans
High Point Raiders,2,,4,Chattanooga Rockets
Coral Springs Mustangs,3,,4,Lakewood Red Devils
Sacramento Chargers,0,,4,Virginia Beach Flyers
Chicago Hornets,4,,3,Green Bay Indians
Orlando Cardinals,4,,2,Lexington Pirates
Bakersfield Golden Eagles,4,,2,Coral Springs Mustangs
Knoxville Hawks,0,,4,Newark Miners
Detroit Miners,4,,1,Tacoma Broncos
Carrollton Lions,3,,4,Jersey City Cowboys
Orange Greyhounds,4,,2,Texas Royals
Texas Jets,4,,2,Alabama Indians
North Carolina Colts,2,,4,Tucson Miners
Chandler Blue Devils,2,,4,Austin Patriots
Kansas City Rockets,3,,4,Nashville Eagles
Minnesota Cavaliers,4,,2,High Point Raiders
Fullerton Red Raiders,1,,4,Tacoma Broncos
Huntsville Rebels,4,,1,Mesquite Blue Devils
Utah Generals,2,,4,Simi Valley Falcons
Anchorage Red Devils,0,,4,Stockton Golden Eagles
Worcester Lions,4,,2,Salem Bearcats
Oklahoma City Rockets,2,,4,High Point Raiders
Fort Lauderdale Eagles,4,,0,San Diego Cowboys
California Spartans,4,,0,Minnesota Cavaliers
Salem Wildcats,4,,1,Worcester Lions
Corona Vikings,0,,4,Green Bay Indians
Kansas City Rockets,4,,3,Carrollton Lions
Burbank Huskies,2,,4,Detroit Miners
Virginia Beach Flyers,3,,4,Simi Valley Falcons
Alabama Indians,2,,4,North Las Vegas Cardinals
Texas Jets,2,,4,Long Beach Panthers
Austin Patriots,0,,4,Texas Royals
Gainesville Braves,4,,2,Springfield Spartans
Lakewood Red Devils,4,,0,Anaheim Pioneers
